"","K","G","n_rbf","lambda","C","poly","auc","mad.auc.","ams","mad.ams."
"85",5,1,2,1e-04,1,2,0.880753216121115,0.000677578166589876,2.35073309469431,0.0563030833097289
"86",5,2,2,1e-04,1,2,0.850676200302851,0.000213537844586738,1.49554875050838,0.0413375069888191
"87",5,3,2,1e-04,1,2,0.87907652795159,0.00327780611376364,1.72090495949547,0.0862533473941368
"88",5,1,4,1e-04,1,2,0.880613635843849,0.00391439767245903,2.34487220009602,0.0649111524449611
"89",5,2,4,1e-04,1,2,0.85046709400464,0.000865508769131921,1.49326341700452,0.0290715068372766
"90",5,3,4,1e-04,1,2,0.879105481541158,0.00349331668451062,1.71875532309311,0.0586533661770757
"91",5,1,0,0.0447213595499958,1,2,0.880597991809393,0.00394384670067561,2.34491425402714,0.0655687988892803
"92",5,2,0,0.0447213595499958,1,2,0.850435932988453,0.00089502392516647,1.49289528994622,0.0303943062864435
"93",5,3,0,0.0447213595499958,1,2,0.879095288069601,0.00344740659726879,1.71912772289604,0.0569070894241724
"94",5,1,2,0.0447213595499958,1,2,0.880749280310135,0.000706066708793771,2.35058254986779,0.0557867757475397
"95",5,2,2,0.0447213595499958,1,2,0.85064304344731,0.000137489306425477,1.49512040723891,0.0410402439134309
"96",5,3,2,0.0447213595499958,1,2,0.878994234475877,0.00313735078396944,1.71938787481606,0.0833244484068134
"97",5,1,4,0.0447213595499958,1,2,0.880597991809393,0.00394384670067561,2.34491425402714,0.0655687988892803
"98",5,2,4,0.0447213595499958,1,2,0.850435932988453,0.00089502392516647,1.49289528994622,0.0303943062864435
"99",5,3,4,0.0447213595499958,1,2,0.879095288069601,0.00344740659726879,1.71912772289604,0.0569070894241724
"100",5,1,0,20,1,2,0.879414149366886,0.00435166535521884,2.3163115955489,0.0839807632271743
"101",5,2,0,20,1,2,0.840670100885547,0.00182572513058522,1.41205073800105,0.0387970053074144
"102",5,3,0,20,1,2,0.867752677492755,0.00457008655582458,1.6925776812298,0.0536792405367957
"103",5,1,2,20,1,2,0.879529815355641,0.00065992050321012,2.32084311838939,0.0617147456911096
"104",5,2,2,20,1,2,0.840834817861944,0.000961812837392582,1.41298064228798,0.0270066527454842
"105",5,3,2,20,1,2,0.867773224299397,0.00354652715130819,1.70122098893054,0.114955702205618
"106",5,1,4,20,1,2,0.879414149366886,0.00435166535521884,2.3163115955489,0.0839807632271743
"107",5,2,4,20,1,2,0.840670100885547,0.00182572513058522,1.41205073800105,0.0387970053074144
"108",5,3,4,20,1,2,0.867752677492755,0.00457008655582458,1.6925776812298,0.0536792405367957
"109",5,1,0,1e-04,NA,3,0.888456834749802,0.00496844941471659,2.50469691907122,0.095695384219583
"110",5,2,0,1e-04,NA,3,0.868226824924414,0.00420321630493665,1.68583128983051,0.0533784582821637
"111",5,3,0,1e-04,NA,3,0.901621000686169,0.00536941941292786,1.99264796299058,0.0921291175073876
"112",5,1,2,1e-04,NA,3,0.888482027216838,0.000511740675156281,2.50030384870314,0.058390355312862
"113",5,2,2,1e-04,NA,3,0.868300516541054,0.000918515195587739,1.68217988902914,0.0293265197505199
"114",5,3,2,1e-04,NA,3,0.901703969835172,0.00263928463383666,2.00556577424997,0.0515030653108445
"115",5,1,4,1e-04,NA,3,0.888456834749802,0.00496844941471659,2.50469691907122,0.095695384219583
"116",5,2,4,1e-04,NA,3,0.868226824924414,0.00420321630493665,1.68583128983051,0.0533784582821637
"117",5,3,4,1e-04,NA,3,0.901621000686169,0.00536941941292786,1.99264796299058,0.0921291175073876
"118",5,1,0,0.0447213595499958,NA,3,0.888474315358896,0.00492532089453944,2.50437240311969,0.0967827284460581
"119",5,2,0,0.0447213595499958,NA,3,0.868153688400198,0.00431162200588343,1.68376504608686,0.0538480511590698
"120",5,3,0,0.0447213595499958,NA,3,0.901519674454017,0.00532362021790058,1.99204548396073,0.0906527759262116
"121",5,1,2,0.0447213595499958,NA,3,0.888462384845628,0.000530115858907152,2.50002408350514,0.0621592805744078
